abacus|n.算盘
tractable|adj.易驾驭的,驯良的,易管教的,易处理的
tractor|n.拖拉机
trade|n.贸易,商业,交易,生意,职业,行业,[气]信风,顾客vi.交易,买卖,经商,对换,购物vt.用...进行交换
trademark|n.商标
tradesman|n.零售商,工匠
tradition|n.传统,惯例
traditional|adj.传统的,惯例的,口传的,传说的
traffic|n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换
trafficker|n.贸易商,商人,干非法勾当者,行为卑劣者
tragedian|n.悲剧演员,悲剧作家
tragedy|n.悲剧,惨案,悲惨,灾难
tragic|adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格
trail|n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走
trailer|n.追踪者,拖车vi.乘拖车式活动房屋旅行vt.用拖车载运
train|n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼
training|n.训练,练习adj.训练的
trait|n.显著的特点,特性
traitor|n.叛逆者,叛国者
tram|n.有轨电车,电车轨道,煤车,吊车v.乘电车
tramp|v.重步行走,踏,践,践踏
trample|n.踩踏,蹂躏v.践踏,踩坏,轻视
trance|n.恍惚,出神,着迷,[医]迷睡vt.使恍惚,使发呆
tranquil|adj.安静的
tranquility|n.宁静
transaction|n.办理,处理,会报,学报,交易,事务,处理事务
transcend|vt.超越,胜过
transcendental|adj.先验的,超越的,超出人类经验的
transcendentalism|n.先验说,超越论
transcribe|v.转录
transfer|n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车
transfigure|vt.使变形,美化,理想化
transform|vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换
transformation|n.变化,转化,改适,改革,转换
transfuse|vt.注入,灌输,[医]输血
transient|adj.短暂的,瞬时的n.瞬时现象
transistor|n.[电子]晶体管
transit|n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天]中天,经纬仪
transition|n.转变,转换,跃迁,过渡,变调
transitive|adj.及物的n.及物动词
transitory|adj.短时间的
translate|vt.翻译,解释,转化,转变为,调动vi.翻译,能被译出
translation|n.翻译,译文,转化,调任,转换[物][数]平移
translator|n.翻译者
translucent|adj.半透明的,透明的
transmission|n.播送,发射,传动,传送,传输,转播
transmit|vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报
transmutation|n.变形,变化
transmute|v.改变
transparency|n.透明,透明度,幻灯片,有图案的玻璃
transparent|adj.透明的,显然的,明晰的
transpire|vt.发生,得知,使蒸发,使排出vi.蒸发,发散,泄露
transplant|v.移植,移种,移民,迁移n.移植,被移植物,移居者
transport|n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐
transportation|n.运输,运送
transpose|vt.调换,颠倒顺序,移项vi.进行变换n.[数]转置(矩)阵
transposition|n.调换,变换,[数学]移项
trap|n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制
trash|n.无价值之物,无聊的作品,垃圾,废物
trauma|n.[医]外伤,损伤
travel|v.旅行,传播vi.行进,传播n.旅行
traveller|n.旅行者
traverse|n.横贯,横断,横木,障碍,否认,反驳,(建筑)通廊vt.横过,穿过,经过,在...来回移动,反对,详细研究vi.横越,横断,旋转,来回移动adj.横断的,横的
trawl|n.[渔]拖网v.用拖网捕鱼
trawler|n.[渔]拖捞船
tray|n.盘,碟,盘子
treacherous|adj.背叛的,背信弃义的,奸诈的,叛逆的
treachery|n.背叛,背信弃义,变节,叛逆行为
tread|n.踏,步态,梯级,踏板,轮胎面,交尾,鞋底vi.踏,行走,踩碎,践踏,交尾vt.踩,踏,践踏,跳
treason|n.叛逆,通敌,背信,叛国罪
treasonable|adj.背叛的,叛国的,不忠的
treasure|n.财宝,财富,珍品,财产vt.珍爱,珍惜,储藏,珍藏
treat|n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东
treatise|n.论文,论述
treatment|n.待遇,对待,处理,治疗
treaty|n.条约,谈判
treble|adj.三倍的,三重的,三层的,最高音部的v.成三倍,使增加两倍,增为三倍
tree|n.树,木料,树状物vt.赶上树n.[计]显示驱动器的子目录结构vi.爬上树,逃上树
trek|vi.牛拉车,艰苦跋涉vt.（牛）拉（货车）,搬,运n.牛拉车旅行,艰苦跋涉
tremble|n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出
tremendous|adj.极大的,巨大的
tremor|n.震动,颤动vi.震颤,战栗
trench|n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕
trend|n.倾向,趋势vi.伸向,倾向,通向
trespass|n.过失,罪过,侵入v.侵入
trestle|n.脚手架,高架桥,三角凳
trial|n.试验,考验,审讯,审判
triangle|n.[数]三角形,三人一组,三角关系
triangular|adj.三角形的,三人间的
tribal|adj.部落的,种族的
tribe|n.部落,部族
tribunal|n.法官席,审判员席,(特等)法庭
tributary|adj.进贡的,附庸的,从属的,辅助的,支流的n.进贡国,附庸国,支流
tribute|n.贡品,礼物,颂词,殷勤,贡物
trick|n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗
trickle|v.滴流
tricky|adj.狡猾的,机警的
trifle|n.琐事,少量,蛋糕,小事v.开玩笑,玩弄,闭混,浪费,嘲弄
trigger|vt.引发,引起,触发n.板机
trill|n.颤声,抖音,啭声vt.用抖动的声音说,用卷舌发音vi.发出抖动的声音
trilogy|n.三部剧,三部曲
trim|adj.整齐的,整洁的vt.整理,修整,装饰
trinity|n.三位一体,三人一个组,三个一组的(物)
trinket|n.小装饰品,琐物,无关紧要的小事vi.密谋
trio|n.三重唱
trip|n.(短途)旅行,绊倒,摔倒,失足,往返,差错,支吾,旅程vt.使跌倒,使犯错,使失败,挑剔vi.轻快地走,摔倒,绊倒,失足,结巴,远足,犯错,旅行
triple|n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍
tripod|n.三脚桌,三脚架
tripper|n.旅行者,远足者,绊跌者
triumph|n.胜利,成功v.获得胜利
triumphant|adj.胜利的,成功的,狂欢的,洋洋得意的
trivia|n.琐事
trivial|adj.琐细的,价值不高的,微不足道的
trolley|n.电车,(电车)滚轮,手推车,手摇车,台车vt.用手推车运vi.乘电车
trombone|n.长号
troop|n.群,组,多数,军队vi.群集,结队,成群而行vt.把(骑兵)编成骑兵连
trophy|n.战利品,奖品vt.用战利品装饰,授予...奖品
tropic|n.[天](天球的)回归线,热带adj.热带的
tropical|adj.热带的,热情的
trot|v.(使)小跑,(使)快步走,骑马小跑,疾走n.小跑,骑马,疾走,忙碌
trouble|n.烦恼,麻烦,动乱,纠纷,疾病,故障,问题vt.(使)烦恼,麻烦,打扰,麻烦自己,费神,费心
troublemaker|n.惹麻烦的人,捣乱者
troubleshooter|n.纷争解决者,调解纷争专家
troublesome|adj.麻烦的,讨厌的,棘手的
trough|n.槽,水槽,饲料槽,木钵
trounce|v.痛击
troupe|n.剧团
trousers|n.裤子,长裤
trout|n.[鱼]鲑,鲑鱼
truant|n.逃避者adj.逃避
truce|n.休战,休战协定,休止
truck|n.卡车,敞棚货车,(车站)搬行李用的手推车,交易,交换,废话,废物,实物工资vt.交易,交往,以卡车运输vi.驾驶卡车,以物易物adj.<主美>运货汽车的
trudge|v.跋涉
truism|n.真实性
truly|adv.真实地,不假
trump|n.王牌,法宝,最后大的手段,喇叭vt.打出王牌赢,胜过vi.出王牌,吹喇叭n.<口>好人
trumpet|n.喇叭
trundle|v.推动
trunk|n.干线,树干,躯干,箱子,主干,象鼻vt.把...放入旅行箱内adj.树干的,躯干的,干线的,箱形的
trust|vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～in)信任,信赖
trustee|n.托管人,保管人,理事
trustworthy|adj.可信赖的
truth|n.事实,确实,真理,原理
truthful|adj.诚实的,说实话的
try|n.尝试v.试,试图,努力,试验,磨难,考验,审问
trying|adj.难受的,费劲的,令人厌烦的
tryout|n.试验,试用,尝试,预赛(试),预演
tub|n.浴盆
tuba|n.大号,风琴音栓之一种
tube|n.管,管子,[英]地铁,<美>电子管,显象管
tuberculosis|n.肺结核
tubular|adj.管状的
tuck|n.缝摺,活力,鼓声,船尾突出部下方,食物(尤指点心、蛋糕)vt.打摺,卷起,挤进,塞,使隐藏vi.折成摺子,缩拢
Tuesday|n.星期二
tuft|n.一丛,丛生植物,一蔟vi.丛生vt.用丛毛修饰
tug|v.用力拖,吃力地搬运,苦干,用拖轮拖,拖拉n.拖,苦干,拖船,(牵引用的)绳索
tuition|n.学费
tulip|n.[植]郁金香,郁金香花,郁金香球茎
tumble|n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱
tummy|n.胃,肚子(常指旅游者患的)腹痛,腹泻
tumour|n.[医]瘤,肿瘤,肿块
tumult|n.吵闹,骚动,拥挤,混乱
tuna|n.金枪鱼n.[动]鲔鱼
tune|n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪
tunnel|n.隧道,地道
turbid|adj.混浊的,不纯的,脏的,混乱的,雾重的
turbine|n.涡轮
turbot|n.大比目鱼,大菱鲆
turbulence|n.骚乱,动荡,(液体或气体的)紊乱
turbulent|adj.狂暴的,吵闹的
turf|n.草根土,草皮,泥炭,跑马场,赛马vt.覆草皮于
turkey|n.火鸡,无用的东西
turmoil|n.骚动,混乱
turn|n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)
turner|n.车床工,体育协会会员
turning|n.旋转,转向,转弯处
turnip|n.[植]芜箐,芜箐甘蓝
turnout|n.聚集的人群,出席者,产量
turnover|n.翻覆,翻折,半圆卷饼,流通量,营业额,周转adj.有一部分翻转的,可翻转的
turnpike|收费公路
turret|n.小塔,塔楼,炮塔
turtle|n.海龟
turtleneck|n.套领,套领毛衣adj.圆翻领的
tutelage|n.监护
tutor|n.家庭教师,(大学)指导教师,助教,监护人,辅导教师v.辅导
tutorial|n.指南
tweed|n.斜纹软呢,斜纹软呢服
twelfth|num.第十二
twelve|num.十二
twentieth|adj.第二十的,二十分之一的n.第二十(个),二十分之一,(月)的第二十日
twenty|num.二十,二十个
twice|adv.两次,两倍
twig|n.嫩枝,小枝,末梢v.注意,了解
twilight|n.黎明,微光,略知adj.微明的,黄昏的,黎明的,模糊的
twin|n.双胞胎中一人,孪生子adj.双胞胎的,一对的,相似的vi.生双胞胎,成对vt.孪生,使成对
twinkle|v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼
twirl|vt.(使)快速转动,捻弄vi.转动,旋转n.转动,万能钥匙,旋转的东西
twist|n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形
twitch|v.骤然一抽,攫取,抽搐,阵痛,抽动n.急扯,颤动,抽搐,阵痛,痉挛
two|num.二,两个
type|n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型
typewriter|n.打字机
typhoon|n.[气]台风
typical|adj.典型的,象征性的
typist|n.打字员
typographical|adj.印刷上的,排字上的
typography|n.凸版印刷术,排印印刷样式
tyrannical|adj.残暴的
tyrannize|vi.施行暴政,实施集权统治,横行霸道
tyranny|n.暴政,苛政,专治
tyrant|n.暴君
Tyre|提尔(古代腓尼基Phoenicia的有名港口,现属黎巴嫩)
ubiquitous|adj.到处存在的,(同时)普遍存在的
UFO|n.不明飞行物
ugly|adj.丑陋的,难看的
ulcer|n.溃疡,腐烂物
ulterior|adj.在那边的,较远的,将来的,隐蔽的
ultimate|adj.最后的,最终的,根本的n.最终
ultimatum|n.最后通谍
ultrasonic|adj.超音速的,超声的n.超声波
ultrasound|n.超频率音响
ultraviolet|adj.紫外线的,紫外的n.紫外线辐射
umbrella|n.伞,雨伞,庇护
umpire|n.仲裁人,裁判员v.仲裁,任裁判,作裁判
unabashed|adj.不害羞的
unabated|adj.不衰退的,不减弱的
unable|adj.不能的,不会的
unacceptable|adj.无法接受的,不受欢迎的
unaccountable|adj.无法解释的,无责任的
unaffected|adj.不矫揉造作的,自然的,真挚的,未受影响的,未被感动的
unanimous|adj.意见一致的,无异议的
unashamed|adj.不害羞的,不知耻的,厚脸无耻的,问心无愧的
unassuming|adj.谦逊的,不装腔作势的
unaware|adj.不知道的,没觉察到的
unawares|adv.不料,不知不觉地
unbearable|adj.无法忍受的,承受不住的
unbecoming|adj.不合身的
unbelievable|adj.难以置信的
uncanny|adj.离奇的
unceremonious|adj.随便的
uncertain|adj.无常的,不确定的,不可预测的,靠不住的
uncharitable|adj.严厉的,无情的,不宽恕的
uncle|n.伯父,叔父,姨丈,援助者
uncomfortable|adj.不舒服的,不安的,不合意的
uncompromising|adj.不妥协的,不让步的,强硬的
unconcern|n.漫不经心,冷淡,不关心
unconditional|adj.无条件的,绝对的,无限制的
unconscious|adj.不省人事,未发觉的,无意识的
uncooperative|不合作的,不配合的
uncouth|adj.笨拙的,粗俗的,不舒适的
uncover|vt.揭开,揭露v.揭示
under|prep.在...之下,在...之内,在...领导下,低于,假借adv.在下
underachieve|v.学习成绩不良，未能发挥学习潜能
underbrush|n.树林下的草丛,丛林,下层林丛
undercharge|vt.索价低于常价,未给...装足够的火药,充电不足n.低的索价,填不够量的火药,充电不足
underclass|n.一、二年级学生,下层阶级
undercover|adj.秘密从事的,秘密的,被雇进行间谍活动的
undercut|n.底切,牛腰部下侧嫩肉,砍口,削球vt.廉价出售,底切,雕出,从下边削球vi.底切
underdeveloped|adj.不发达的
underdog|n.失败者,受压迫者
underdone|adj.半生不熟的,煮得嫩的vbl.underdo之过去分词
underestimate|vt.低估,看轻n.低估
undergo|vt.经历,遭受,忍受
undergraduate|n.大学肄业生,(尚未取得学位的)大学生adj.大学生的
underground|adj.地下的,地面下的,秘密的n.[英]地铁adv.在地下,秘密地
undergrowth|n.下层丛林,生于大树下的矮树,发育不全
underhand|adj.秘密的,下投的,欺瞒的adv.秘密地,阴险地,(打球时)手不过肩地
underlie|vt.位于...之下,成为...的基础
underline|vt.在...下面划线,作...的衬里,加下划线,强调n.下划线
underling|n.部下,下僚,下属,走卒
undermine|v.破坏
underneath|adv.在下面prep.在...的下面
underpass|n.地下道,高架桥下通道
underprivileged|adj.被剥夺基本权力的,穷困的,下层社会的
undersell|vt.以低于市价售出,抛售
underside|n.下面,内面,下腹,下侧
understand|v.懂,了解,听说,推定,以为,省略
understandable|adj.可以理解的,可懂的
understanding|n.谅解,理解
understate|v.打着折扣说,保守地说,有意轻描淡写
understudy|n.预备演员,替角,代替之人v.练习做临时演员
undertake|vt.承担,担任,许诺,保证v.采取
undertaker|n.承办者,承担者
underwater|adj.在水下的,在水中的adv.在水下,在水线以下n.(海洋等)水面下的水
underwear|n.内衣裤
underworld|n.黑社会
underwrite|vt.签在...下,给...保险,签名,承诺支付vi.经营保险业
undesirable|adj.不合需要的,不受欢迎的,令人不快的
undignified|adj.不庄重的,无威严的,有损尊严的
undo|vt.解开,松开v.取消撤消
undoubted|adj.无疑的,确实的
undue|adj.不适当的
undulate|v.波动,起伏,成波浪形adj.波浪形的,起伏的
unduly|adv.不适当地,过度地,不正当地
unearth|v.掘出
uneasiness|n.不安
uneasy|adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地
uneatable|adj.不能吃的，不可吃的
uneducated|adj.没有受过教育的,无知的
unemployed|adj.失业的,未被利用的
unemployment|n.失业,失业人数
unequivocal|adj.不含糊的
unethical|adj.不道德的，缺乏职业道德的
uneven|adj.不平坦的,不平均的,不均匀的,奇数的
unexpected|adj.想不到的,意外的,未预料到
unfailing|adj.经久不衰的,无穷尽的,可靠的
unfair|adj.不公平的
unfaithful|adj.不诚实的,不忠实的,不准确的
unfamiliar|adj.新奇的,不熟悉的,没有经验的
unfathomable|adj.深不可测的,无底的,难解的
unfold|vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏
unforeseen|adj.无法预料的
unforgettable|adj.忘不了的,令人难忘的
unfortunate|adj.不幸的,不合宜的,不吉利的,使人遗憾的n.不幸的人
ungainly|adj.难看的,不象样的,笨拙的adv.笨拙地,难看地,不雅地
ungodly|adj.不虔诚的
ungracious|adj.没有教养的,无礼貌的,不合人意的
ungrateful|adj.不领情的
unhappy|adj.不幸的,不快乐的,不适当的
unhealthy|adj.不健康的,对健康有害的
unicorn|n.独角兽,麒麟
uniform|adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服
unify|vt.统一,使成一体
unilateral|adj.单方面,单边的,片面的,单系,[植]单侧的,[语]单边音
uninformed|adj.未被通知的,未获情报,无生气的
unintelligible|adj.难解的,无法了解的,莫明其妙的
uninviting|adj.不动人的,无魅力的,讨厌的
union|n.联合,合并,结合,联盟,协会
unique|adj.唯一的,独特的
unisex|adj.男女皆宜的
unison|n.调和,和谐,一致,齐唱,齐奏adj.[音]同度的,同音的
unit|n.个体,(计量)单位,(军队的)部队单位,[数学]最小的整数
unite|v.联合,团结
united|adj.联合的,团结的,一致的
unity|n.团结,联合,统一,一致
universal|adj.普遍的,全体的,通用的,宇宙的,世界的
universe|n.宇宙,世界,万物,领域
university|n.(综合)大学
unjust|adj.不公平的
unkempt|adj.蓬乱的,粗野的,不整洁的
unkind|adj.不仁慈的,刻薄的,无情的,不体谅的,不厚道的,不亲切的
unknown|adj.不知道的,未知的n.不知名的
unlawful|adj.非法的,私生的
unleash|v.释放
unless|conj.如果不,除非
unlike|adj.不同的,不相似的prep.不象...,和...不同
unlikely|adj.未必的,不太可能的,靠不住的
unlimited|adj.无限的,无约束的
unlisted|adj.未列于表格的,未上市的
unload|vi.卸货,退子弹vt.摆脱...之负担,倾销,卸
unlock|vt.开...锁,开启,显露,放开vi.开着,解开,解出锁定
unnatural|adj.不自然的
unnecessary|adj.不必要的,多余的
unnerve|vt.使失去勇气,使身心交疲,使失常
unobtrusive|adj.不唐突的,不多嘴的,客气的,谦虚的
unoccupied|adj.没有人住的,无人占领的,空闭的,未占领的
unofficial|adj.非官方的,非法定的,非正式的
unorthodox|adj.非正统的,异教的,异端的
unpack|v.打开包裹(或行李等),卸货,揭开
unpalatable|adj.味道差的,不好吃的
unparalleled|adj.无比的,无双的,空前的
unpleasant|adj.使人不愉快的,讨厌的
unplug|v.拔去(塞子,插头等),去掉...的障碍物
unpopular|adj.不流行的,不受欢迎的
unprecedented|adj.空前的
unpredictable|adj.不可预知的
unprejudiced|adj.公平的,无偏见的,没有成见的
unpretentious|adj.不骄傲的,谦逊的
unprincipled|adj.不道德的,无原则的,不合人道的
unprofessional|adj.外行的,非职业性的
unqualified|adj.不合格的,无资格的,没限制的,绝对的
unquestionable|adj.毫无疑问的
unquestioning|adj.不加疑问的,不问是非的,不犹豫的
unravel|v.拆开
unreal|adj.不真实的,虚幻的
unreasonable|adj.不讲道理的,不合理的,过度的,不切实际的
unrelenting|adj.不宽恕的,不屈不挠的,无情的,冷酷的
unremitting|adj.不懈的
unrest|n.不安的状态,动荡的局面
unruly|adj.不受拘束的,不守规矩的,蛮横的,难驾驭的
unscrew|v.从...旋出螺丝,旋开,旋松
unseemly|adj.不体面的,不适宜的,不恰当的adv.不体面地
unsettle|v.不安
unsettled|adj.未处理的,未决定的
unsightly|adj.不悦目的,不好看的,难看的
unskilled|adj.不熟练的,拙劣的,无需技能的
unsociable|adj.不爱交际的
unsuspecting|adj.不怀疑的,无疑虑的,信任的
unswerving|adj.不歪的,不偏离的,坚定的,始终不渝的
untenable|adj.防守不住的,站不住脚的,不能维持的,支持不住的
untidy|adj.不整洁的,凌乱的,不简练的,不整齐的
untie|vt.解开,解放,解决vi.松开,解开
until|prep.到...为止,在...以前conj.到...为止,在...以前,直到...才
untimely|adj.不到时候的,不适时的,不合时宜的adv.过早地,不合时宜地
untiring|adj.不知疲倦的
untold|adj.未说过的,未透露的,数不清的
untouchable|n.贱民adj.禁止触摸的,管不着的,独特的,不可及的
untruth|n.假话
unusual|adj.不平常的,与众不同的,不寻常的
unveil|vt.使公诸于众,揭开,揭幕,除去...的面纱vi.显露,除去面纱
unwieldy|adj.笨拙的,不实用的,难处理的,难使用的,笨重的
unwilling|adj.不愿意的,勉强的
unwind|vt.展开,放松,伸直
unwise|adj.无智的,愚笨的,轻率的
unwitting|adj.不知情的
unworldly|adj.对钱财不感兴趣的,非尘世的,天真的
up|adv.向上,到(较高的地方,北方),起来,起床prep.向上,在上,沿adj.向上的,上行的
upbringing|n.抚育,教养
upcoming|adj.即将来临的,预定将要
update|v.使现代化,修正,校正,更新n.现代化,更新
upfront|adv在前面，在最前面
upgrade|n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种
upheaval|n.剧变
uphold|vt.支持,赞成
upholster|vt.装饰,装潢
upkeep|n.维持,维修费
uplift|v.举起,升起,促进,振奋,提高n.举起,情绪高涨,社会进步,道德提高
upon|prep.在...之上
upper|adj.上面的,上部的
upright|adj.垂直的,竖式的,正直的,诚实的,合乎正道的adv.笔直,竖立着n.垂直,竖立
uprising|n.起义,升起
uproar|n.喧嚣,骚动
uproot|vt.连根拔起,根除
upset|vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱
upside|n.上边,上面,上部
upstairs|adv.向楼上,在楼上,上楼adj.楼上的
upstart|n.暴发户
upstream|adv.向上游,溯流,逆流地adj.溯流而上的
upsurge|n.高潮
uptodate|adj.直到现代的,现时的,最新式的
uptown|adv.在(或向)城镇非商业区,在住宅区adj.住宅区的n.住宅区
upward|adj.向上的,(声调)声高的adv.以上
uranium|n.铀
urban|adj.城市的,市内的
urge|vt.催促,力劝n.强烈欲望,迫切要求v.促进
urgent|adj.急迫的,紧急的
urinate|vi.小便,撒尿
urine|n.尿
usage|n.使用,用法
use|vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值
used|adj.习惯的,旧的,用旧了的
useful|adj.有用的,有益的,有帮手的
useless|adj.无用的,无效的,无益的,无价值的
user|n.使用者,使用物,[律]权利的实际享有
usher|n.引座员,招待员,传达员,前驱vt.引导,展示vi.作招待员
usual|adj.平常的,通常的,惯例的
usually|adv.通常,大抵
usurer|n.高利贷者
usurp|v.篡夺,篡位,侵占
utensil|n.器具
utilitarian|adj.功利的,实利的,功利主义的n.功利论者,[哲]功利主义
utility|n.效用,有用
utilize|vt.利用
utmost|n.极限,最大可能,极力adj.极度的,最远的
Utopia|n.乌托邦,理想的完美境界,空想的社会改良计划
utter|adj.全然的,绝对的vt.发出,做声,发表,发射,流通
vacancy|n.空,空白,空缺,空闲,清闲,空虚
vacant|adj.空的,空白的,空灵的,头脑空虚的,神情茫然的,空闲的,空缺的
vacate|v.腾出,空出,离(职),退(位)
vacation|n.假期,休假,(房屋等的)腾出v.<美>度假,休假
vaccinate|v.进行预防接种n.被接种牛痘者
vaccination|n.[医]接种疫苗,种痘,牛痘疤
vaccine|adj.疫苗的,牛痘的n.疫苗
vacuum|n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫
vagabond|adj.流浪的,漂泊的,浪荡的,流浪者的n.流浪者,游民,浪子,流氓,懒汉vi.到处流浪
vagrant|n.游民adj.漂泊的
vague|adj.含糊的,不清楚的,茫然的,暧昧的
vaguely|adv.含糊地,暧昧地
vain|adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的
Valentine|瓦伦丁(姓氏)
valet|n.(男人的)贴身男仆,<美>衣物架vt.伺候
valiant|adj.勇敢的,英勇的n.勇敢的人
valid|adj.[律]有效的,有根据的,正当的,正确的
validate|vt.[律]使有效,使生效,确认,证实,验证
validity|n.有效性,合法性,正确性
valley|n.(山)谷,流域
valour|n.英勇,勇猛
valuable|adj.贵重的,有价值的,颇有价值的
value|n.价值,估价,评价,价格,[数]值,确切涵义vt.估价,评价,重视
valve|n.阀,[英]电子管,真空管
van|n.有篷货车,先锋,前驱,前卫vt.用车搬运
vandal|n.野蛮人；摧残文化艺术者；故意破坏者
vandalism|n.故意破坏艺术的行为
vanguard|n.前锋,先锋,领导者
vanilla|n.[植]香草,香子兰
vanish|vi.消失,突然不见,[数]成为零n.[语]弱化音
vanity|n.空虚
vanquish|vt.征服,击败,克服
vantage|n.优势,有利情况
vaporize|v.(使)蒸发
vapour|n.蒸汽,水蒸气
variable|n.[数]变数,可变物,变量adj.可变的,不定的,易变的,[数]变量的
variant|adj.不同的n.变量
variation|n.变更,变化,变异,变种,[音]变奏,变调
varicose|adj.[医]肿胀的,曲张的
variety|n.变化,多样性,种种,品种,种类
various|adj.不同的,各种各样的,多方面的,多样的
vary|vt.改变,变更,使多样化vi.变化,不同,违反
vase|n.花瓶,瓶
vast|adj.巨大的,辽阔的,大量的,巨额的
vat|n.(装液体的)大桶,大缸(尤指染缸)vt.装入大桶,在大桶里处理
vault|n.拱顶
veal|n.小牛肉,幼小的菜牛vt.宰小牛
veer|vi.转向,(风向)顺(时针)转vt.使转向,放出(锚)n.转向,方向的转变
vegetable|n.蔬菜,植物,生活呆板单调的人adj.蔬菜的,植物的
vegetarian|n.素食者,食草动物adj.素食的
vegetation|n.[植]植被,(总称)植物、草木,(植物的)生长、呆板单调的生活
vehement|adj.激烈的,猛烈的,(情感)热烈的
vehicle|n.交通工具,车辆,媒介物,传达手段
veil|n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托vt.戴面纱,隐藏,遮蔽,掩饰vi.蒙上面纱
vein|n.血管,静脉,叶脉,翅脉,矿脉,纹理,性情,心绪vt.使成脉络,象脉络般分布于
velocity|n.速度,速率,迅速,周转率
velvet|n.天鹅绒,柔软,光滑adj.天鹅绒的,柔软的,光滑的
vendor|n.卖主
venerable|adj.庄严的,值得尊敬的,古老的
venerate|v.崇敬
venereal|adj.性交的,性病的
vengeance|n.复仇,报仇
vengeful|adj.复仇心重的,(利于)报复的
venison|n.野味,鹿肉
venom|n.(蛇的)毒液,恶意,怨恨vt.放毒,使恶毒
venomous|adj.有毒的,分泌毒液的,有毒腺的,恶意的,狠毒的
vent|n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄
ventilate|vt.使通风,给...装通风设备
ventilation|n.通风,流通空气
ventilator|n.通风设备,空调机
ventral|adj.[解]腹的,腹部的,腹侧的n.腹鳍
ventricle|n.[解][动]室,脑室,心室
ventricular|adj.心室的,膨胀的
venture|n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)
venue|n.犯罪地点,审判地,集合地点,会议地点,比赛地点,管辖地
Venus|n.[罗神]维纳斯,[天]金星
veranda|n.阳台,走廊
verb|n.[语]动词
verbal|adj.口头的
verbatim|adj.逐字的adv.逐字地
verdict|n.[律](陪审团的)裁决,判决,判断,定论,结论
verdure|n.新鲜
verge|v.濒临n.边缘
verify|vt.检验,校验,查证,核实[计]打开或关闭文件的读写校验
veritable|adj.真正的
vermin|n.害虫,寄生虫,害兽,害鸟,歹徒
vernacular|adj.本国的
vernal|adj.春天的,春天发生的,和煦的,青春的
versatile|adj.通用的,万能的,多才多艺的,多面手的
versatility|n.多功能性
verse|n.韵文,诗,诗节,诗句,诗篇
version|n.译文,译本,翻译
versus|prep.对(指诉讼,比赛等中),与...相对
vertebrate|n.脊椎动物adj.有椎骨的,有脊椎的,脊椎动物
vertex|n.顶点,最高点,[解]头顶,[天]天顶
